Border,Date,Measure,Value,Average
US-Mexico Border,09/01/2009 12:00:00 AM,Personal Vehicles,5637383,6560435
US-Canada Border,09/01/2009 12:00:00 AM,Personal Vehicle Passengers,4787157,5750587
US-Mexico Border,09/01/2009 12:00:00 AM,Pedestrians,3053713,3671750
US-Canada Border,09/01/2009 12:00:00 AM,Personal Vehicles,2428854,2711834
US-Canada Border,09/01/2009 12:00:00 AM,Trucks,455815,515265
US-Mexico Border,09/01/2009 12:00:00 AM,Trucks,364722,398690
US-Canada Border,09/01/2009 12:00:00 AM,Truck Containers Full,354394,384059
US-Canada Border,09/01/2009 12:00:00 AM,Bus Passengers,256397,281688
US-Mexico Border,09/01/2009 12:00:00 AM,Truck Containers Full,229875,253790
US-Mexico Border,09/01/2009 12:00:00 AM,Bus Passengers,160678,250139
US-Mexico Border,09/01/2009 12:00:00 AM,Truck Containers Empty,134457,141545
US-Canada Border,09/01/2009 12:00:00 AM,Truck Containers Empty,94836,88143
US-Canada Border,09/01/2009 12:00:00 AM,Rail Containers Full,86560,107105
US-Canada Border,09/01/2009 12:00:00 AM,Rail Containers Empty,46743,43537
US-Canada Border,09/01/2009 12:00:00 AM,Pedestrians,44736,50581
US-Mexico Border,09/01/2009 12:00:00 AM,Rail Containers Empty,27805,30636
US-Canada Border,09/01/2009 12:00:00 AM,Train Passengers,24475,23121
US-Mexico Border,09/01/2009 12:00:00 AM,Rail Containers Full,21988,27606
US-Mexico Border,09/01/2009 12:00:00 AM,Buses,16694,19518
US-Canada Border,09/01/2009 12:00:00 AM,Buses,11291,11777
US-Canada Border,09/01/2009 12:00:00 AM,Trains,2031,2526
US-Mexico Border,09/01/2009 12:00:00 AM,Trains,587,723
US-Mexico Border,09/01/2009 12:00:00 AM,Train Passengers,294,1049
US-Mexico Border,09/01/2008 12:00:00 AM,Personal Vehicle Passengers,12943742,14188754
US-Mexico Border,09/01/2008 12:00:00 AM,Personal Vehicles,6485225,6560813
US-Canada Border,09/01/2008 12:00:00 AM,Personal Vehicle Passengers,4781150,5755459
US-Mexico Border,09/01/2008 12:00:00 AM,Pedestrians,3570146,3672261
US-Canada Border,09/01/2008 12:00:00 AM,Personal Vehicles,2442637,2713186
US-Canada Border,09/01/2008 12:00:00 AM,Trucks,511697,515283
US-Canada Border,09/01/2008 12:00:00 AM,Truck Containers Full,414858,383904
US-Mexico Border,09/01/2008 12:00:00 AM,Trucks,394948,398709
US-Canada Border,09/01/2008 12:00:00 AM,Bus Passengers,307375,281559
US-Mexico Border,09/01/2008 12:00:00 AM,Truck Containers Full,234084,253889
US-Mexico Border,09/01/2008 12:00:00 AM,Bus Passengers,234079,250219
US-Mexico Border,09/01/2008 12:00:00 AM,Truck Containers Empty,161436,141445
US-Canada Border,09/01/2008 12:00:00 AM,Rail Containers Full,107759,107102
US-Canada Border,09/01/2008 12:00:00 AM,Truck Containers Empty,95117,88108
US-Canada Border,09/01/2008 12:00:00 AM,Rail Containers Empty,50700,43501
US-Canada Border,09/01/2008 12:00:00 AM,Pedestrians,35038,50659
US-Mexico Border,09/01/2008 12:00:00 AM,Rail Containers Empty,32625,30626
US-Mexico Border,09/01/2008 12:00:00 AM,Rail Containers Full,25580,27616
US-Canada Border,09/01/2008 12:00:00 AM,Train Passengers,23898,23117
US-Mexico Border,09/01/2008 12:00:00 AM,Buses,20264,19514
US-Canada Border,09/01/2008 12:00:00 AM,Buses,11909,11776
US-Canada Border,09/01/2008 12:00:00 AM,Trains,2405,2527
US-Mexico Border,09/01/2008 12:00:00 AM,Train Passengers,1693,1046
US-Mexico Border,09/01/2008 12:00:00 AM,Trains,798,722
US-Mexico Border,09/01/2007 12:00:00 AM,Personal Vehicle Passengers,12847473,14195528
US-Mexico Border,09/01/2007 12:00:00 AM,Personal Vehicles,6450165,6561371
US-Canada Border,09/01/2007 12:00:00 AM,Personal Vehicle Passengers,5133356,5758601
US-Mexico Border,09/01/2007 12:00:00 AM,Pedestrians,3933156,3670943
US-Canada Border,09/01/2007 12:00:00 AM,Personal Vehicles,2630684,2713603
US-Canada Border,09/01/2007 12:00:00 AM,Trucks,531706,515200
US-Canada Border,09/01/2007 12:00:00 AM,Truck Containers Full,445275,383594
US-Mexico Border,09/01/2007 12:00:00 AM,Trucks,381680,398795
US-Canada Border,09/01/2007 12:00:00 AM,Bus Passengers,354549,281190
US-Mexico Border,09/01/2007 12:00:00 AM,Bus Passengers,262279,250158
US-Mexico Border,09/01/2007 12:00:00 AM,Truck Containers Full,233770,253991
US-Mexico Border,09/01/2007 12:00:00 AM,Truck Containers Empty,139864,141453
US-Canada Border,09/01/2007 12:00:00 AM,Rail Containers Full,121028,107031
US-Canada Border,09/01/2007 12:00:00 AM,Truck Containers Empty,82665,88135
US-Canada Border,09/01/2007 12:00:00 AM,Pedestrians,55005,50637
US-Canada Border,09/01/2007 12:00:00 AM,Rail Containers Empty,46717,43485
US-Mexico Border,09/01/2007 12:00:00 AM,Rail Containers Empty,37443,30591
US-Mexico Border,09/01/2007 12:00:00 AM,Rail Containers Full,32225,27593
US-Canada Border,09/01/2007 12:00:00 AM,Train Passengers,23320,23116
US-Mexico Border,09/01/2007 12:00:00 AM,Buses,21091,19506
US-Canada Border,09/01/2007 12:00:00 AM,Buses,13033,11770
US-Canada Border,09/01/2007 12:00:00 AM,Trains,2460,2527
US-Mexico Border,09/01/2007 12:00:00 AM,Train Passengers,1726,1042
US-Mexico Border,09/01/2007 12:00:00 AM,Trains,899,721
US-Mexico Border,09/01/2006 12:00:00 AM,Personal Vehicle Passengers,13571521,14198695
US-Mexico Border,09/01/2006 12:00:00 AM,Personal Vehicles,6811433,6560102
US-Canada Border,09/01/2006 12:00:00 AM,Personal Vehicle Passengers,5567958,5759569
US-Mexico Border,09/01/2006 12:00:00 AM,Pedestrians,3770596,3670437
US-Canada Border,09/01/2006 12:00:00 AM,Personal Vehicles,2676082,2713794
US-Canada Border,09/01/2006 12:00:00 AM,Trucks,542189,515063
US-Canada Border,09/01/2006 12:00:00 AM,Truck Containers Full,452851,383243
US-Mexico Border,09/01/2006 12:00:00 AM,Trucks,383450,398873
US-Canada Border,09/01/2006 12:00:00 AM,Bus Passengers,266393,281266
US-Mexico Border,09/01/2006 12:00:00 AM,Truck Containers Full,246727,254028
US-Mexico Border,09/01/2006 12:00:00 AM,Bus Passengers,222004,250301
US-Mexico Border,09/01/2006 12:00:00 AM,Truck Containers Empty,136347,141479
US-Canada Border,09/01/2006 12:00:00 AM,Rail Containers Full,108601,107023
US-Canada Border,09/01/2006 12:00:00 AM,Truck Containers Empty,82494,88164
US-Canada Border,09/01/2006 12:00:00 AM,Pedestrians,53180,50624
US-Canada Border,09/01/2006 12:00:00 AM,Rail Containers Empty,43203,43486
US-Mexico Border,09/01/2006 12:00:00 AM,Rail Containers Empty,36318,30562
US-Mexico Border,09/01/2006 12:00:00 AM,Rail Containers Full,33461,27563
US-Canada Border,09/01/2006 12:00:00 AM,Train Passengers,23712,23113
US-Mexico Border,09/01/2006 12:00:00 AM,Buses,20686,19500
US-Canada Border,09/01/2006 12:00:00 AM,Buses,10662,11775
US-Canada Border,09/01/2006 12:00:00 AM,Trains,2583,2527
US-Mexico Border,09/01/2006 12:00:00 AM,Train Passengers,1839,1038
US-Mexico Border,09/01/2006 12:00:00 AM,Trains,860,721
US-Mexico Border,09/01/2005 12:00:00 AM,Personal Vehicle Passengers,14370751,14197818
US-Mexico Border,09/01/2005 12:00:00 AM,Personal Vehicles,7269953,6556480
US-Canada Border,09/01/2005 12:00:00 AM,Personal Vehicle Passengers,5445304,5761172
US-Mexico Border,09/01/2005 12:00:00 AM,Pedestrians,3188385,3672897
US-Canada Border,09/01/2005 12:00:00 AM,Personal Vehicles,2693008,2713900
US-Canada Border,09/01/2005 12:00:00 AM,Trucks,580446,514729
US-Canada Border,09/01/2005 12:00:00 AM,Truck Containers Full,505336,382620
US-Canada Border,09/01/2005 12:00:00 AM,Bus Passengers,454160,280383
US-Mexico Border,09/01/2005 12:00:00 AM,Trucks,390992,398913
US-Mexico Border,09/01/2005 12:00:00 AM,Truck Containers Full,253974,254028
US-Mexico Border,09/01/2005 12:00:00 AM,Bus Passengers,190161,250608
US-Mexico Border,09/01/2005 12:00:00 AM,Truck Containers Empty,135819,141508
US-Canada Border,09/01/2005 12:00:00 AM,Rail Containers Full,118157,106966
US-Canada Border,09/01/2005 12:00:00 AM,Truck Containers Empty,84573,88182
US-Canada Border,09/01/2005 12:00:00 AM,Pedestrians,55313,50600
US-Canada Border,09/01/2005 12:00:00 AM,Rail Containers Empty,38882,43510
US-Mexico Border,09/01/2005 12:00:00 AM,Rail Containers Empty,31647,30557
US-Mexico Border,09/01/2005 12:00:00 AM,Rail Containers Full,27603,27563
US-Canada Border,09/01/2005 12:00:00 AM,Train Passengers,24526,23106
US-Mexico Border,09/01/2005 12:00:00 AM,Buses,19847,19499
US-Canada Border,09/01/2005 12:00:00 AM,Buses,17042,11749
US-Canada Border,09/01/2005 12:00:00 AM,Trains,2779,2525
US-Mexico Border,09/01/2005 12:00:00 AM,Train Passengers,1498,1036
US-Mexico Border,09/01/2005 12:00:00 AM,Trains,809,720
US-Mexico Border,09/01/2004 12:00:00 AM,Personal Vehicle Passengers,14572074,14195898
US-Mexico Border,09/01/2004 12:00:00 AM,Personal Vehicles,7351912,6552401
US-Canada Border,09/01/2004 12:00:00 AM,Personal Vehicle Passengers,5469920,5762666
US-Mexico Border,09/01/2004 12:00:00 AM,Pedestrians,3428943,3674148
US-Canada Border,09/01/2004 12:00:00 AM,Personal Vehicles,2758081,2713673
US-Canada Border,09/01/2004 12:00:00 AM,Trucks,602098,514281
US-Canada Border,09/01/2004 12:00:00 AM,Truck Containers Full,500366,382016
US-Canada Border,09/01/2004 12:00:00 AM,Bus Passengers,386208,279841
US-Mexico Border,09/01/2004 12:00:00 AM,Trucks,369295,399065
US-Mexico Border,09/01/2004 12:00:00 AM,Bus Passengers,244162,250641
US-Mexico Border,09/01/2004 12:00:00 AM,Truck Containers Full,234611,254127
US-Mexico Border,09/01/2004 12:00:00 AM,Truck Containers Empty,138611,141523
US-Canada Border,09/01/2004 12:00:00 AM,Rail Containers Full,122446,106887
US-Canada Border,09/01/2004 12:00:00 AM,Truck Containers Empty,83785,88205
US-Canada Border,09/01/2004 12:00:00 AM,Pedestrians,71762,50491
US-Canada Border,09/01/2004 12:00:00 AM,Rail Containers Empty,38051,43538
US-Canada Border,09/01/2004 12:00:00 AM,Train Passengers,29687,23072
US-Mexico Border,09/01/2004 12:00:00 AM,Rail Containers Empty,29428,30563
US-Mexico Border,09/01/2004 12:00:00 AM,Rail Containers Full,25876,27571
US-Mexico Border,09/01/2004 12:00:00 AM,Buses,22198,19485
US-Canada Border,09/01/2004 12:00:00 AM,Buses,15098,11731
US-Canada Border,09/01/2004 12:00:00 AM,Trains,2649,2525
US-Mexico Border,09/01/2004 12:00:00 AM,Train Passengers,1024,1036
US-Mexico Border,09/01/2004 12:00:00 AM,Trains,628,721
US-Mexico Border,09/01/2003 12:00:00 AM,Personal Vehicle Passengers,15497771,14189188
US-Mexico Border,09/01/2003 12:00:00 AM,Personal Vehicles,7234559,6548885
US-Canada Border,09/01/2003 12:00:00 AM,Personal Vehicle Passengers,5441911,5764319
US-Mexico Border,09/01/2003 12:00:00 AM,Pedestrians,3673315,3674152
US-Canada Border,09/01/2003 12:00:00 AM,Personal Vehicles,2661644,2713941
US-Canada Border,09/01/2003 12:00:00 AM,Trucks,600016,513839
US-Canada Border,09/01/2003 12:00:00 AM,Truck Containers Full,498127,381417
US-Canada Border,09/01/2003 12:00:00 AM,Bus Passengers,380195,279323
US-Mexico Border,09/01/2003 12:00:00 AM,Trucks,345770,399340
US-Mexico Border,09/01/2003 12:00:00 AM,Bus Passengers,268252,250550
US-Mexico Border,09/01/2003 12:00:00 AM,Truck Containers Full,209685,254357
US-Mexico Border,09/01/2003 12:00:00 AM,Truck Containers Empty,141501,141523
US-Canada Border,09/01/2003 12:00:00 AM,Rail Containers Full,117584,106832
US-Canada Border,09/01/2003 12:00:00 AM,Pedestrians,98142,50246
US-Canada Border,09/01/2003 12:00:00 AM,Truck Containers Empty,82754,88233
US-Canada Border,09/01/2003 12:00:00 AM,Rail Containers Empty,39255,43560
US-Mexico Border,09/01/2003 12:00:00 AM,Rail Containers Empty,26199,30585
US-Mexico Border,09/01/2003 12:00:00 AM,Buses,22148,19471
US-Canada Border,09/01/2003 12:00:00 AM,Train Passengers,21474,23080
US-Mexico Border,09/01/2003 12:00:00 AM,Rail Containers Full,21083,27605
US-Canada Border,09/01/2003 12:00:00 AM,Buses,15047,11714
US-Canada Border,09/01/2003 12:00:00 AM,Trains,2895,2523
US-Mexico Border,09/01/2003 12:00:00 AM,Train Passengers,1049,1036
US-Mexico Border,09/01/2003 12:00:00 AM,Trains,633,721
US-Mexico Border,09/01/2002 12:00:00 AM,Personal Vehicle Passengers,16246655,14178527
US-Mexico Border,09/01/2002 12:00:00 AM,Personal Vehicles,7480380,6544059
US-Canada Border,09/01/2002 12:00:00 AM,Personal Vehicle Passengers,5983970,5763181
US-Mexico Border,09/01/2002 12:00:00 AM,Pedestrians,3843959,3673272
US-Canada Border,09/01/2002 12:00:00 AM,Personal Vehicles,2893435,2713011
US-Canada Border,09/01/2002 12:00:00 AM,Trucks,587262,513459
US-Canada Border,09/01/2002 12:00:00 AM,Truck Containers Full,492669,380841
US-Canada Border,09/01/2002 12:00:00 AM,Bus Passengers,463219,278371
US-Mexico Border,09/01/2002 12:00:00 AM,Trucks,349746,399597
US-Mexico Border,09/01/2002 12:00:00 AM,Bus Passengers,274867,250424
US-Mexico Border,09/01/2002 12:00:00 AM,Truck Containers Full,196385,254657
US-Mexico Border,09/01/2002 12:00:00 AM,Truck Containers Empty,146454,141497
US-Canada Border,09/01/2002 12:00:00 AM,Pedestrians,143485,49763
US-Canada Border,09/01/2002 12:00:00 AM,Rail Containers Full,120156,106763
US-Canada Border,09/01/2002 12:00:00 AM,Truck Containers Empty,86248,88243
US-Canada Border,09/01/2002 12:00:00 AM,Rail Containers Empty,36743,43595
US-Mexico Border,09/01/2002 12:00:00 AM,Rail Containers Empty,25846,30610
US-Mexico Border,09/01/2002 12:00:00 AM,Buses,24380,19446
US-Mexico Border,09/01/2002 12:00:00 AM,Rail Containers Full,22884,27629
US-Canada Border,09/01/2002 12:00:00 AM,Train Passengers,21067,23091
US-Canada Border,09/01/2002 12:00:00 AM,Buses,16899,11687
US-Canada Border,09/01/2002 12:00:00 AM,Trains,2894,2521
US-Mexico Border,09/01/2002 12:00:00 AM,Train Passengers,1102,1035
US-Mexico Border,09/01/2002 12:00:00 AM,Trains,621,722
US-Mexico Border,09/01/2001 12:00:00 AM,Personal Vehicle Passengers,13335293,14182919
US-Mexico Border,09/01/2001 12:00:00 AM,Personal Vehicles,6141497,6546155
US-Canada Border,09/01/2001 12:00:00 AM,Personal Vehicle Passengers,5667660,5763678
US-Mexico Border,09/01/2001 12:00:00 AM,Pedestrians,3827169,3672470
US-Canada Border,09/01/2001 12:00:00 AM,Personal Vehicles,2572008,2713746
US-Canada Border,09/01/2001 12:00:00 AM,Trucks,542154,513310
US-Canada Border,09/01/2001 12:00:00 AM,Truck Containers Full,433313,380568
US-Canada Border,09/01/2001 12:00:00 AM,Bus Passengers,408931,277691
US-Mexico Border,09/01/2001 12:00:00 AM,Trucks,333294,399942
US-Mexico Border,09/01/2001 12:00:00 AM,Bus Passengers,236654,250496
US-Mexico Border,09/01/2001 12:00:00 AM,Truck Containers Full,178611,255053
US-Mexico Border,09/01/2001 12:00:00 AM,Truck Containers Empty,154211,141431
US-Canada Border,09/01/2001 12:00:00 AM,Rail Containers Full,103044,106782
US-Canada Border,09/01/2001 12:00:00 AM,Truck Containers Empty,80054,88286
US-Canada Border,09/01/2001 12:00:00 AM,Pedestrians,59148,49714
US-Canada Border,09/01/2001 12:00:00 AM,Rail Containers Empty,36252,43633
US-Mexico Border,09/01/2001 12:00:00 AM,Rail Containers Empty,25932,30634
US-Mexico Border,09/01/2001 12:00:00 AM,Rail Containers Full,22973,27654
US-Canada Border,09/01/2001 12:00:00 AM,Train Passengers,22047,23096
US-Mexico Border,09/01/2001 12:00:00 AM,Buses,20891,19438
US-Canada Border,09/01/2001 12:00:00 AM,Buses,15102,11670
US-Canada Border,09/01/2001 12:00:00 AM,Trains,2661,2520
US-Mexico Border,09/01/2001 12:00:00 AM,Train Passengers,1417,1033
US-Mexico Border,09/01/2001 12:00:00 AM,Trains,618,722
US-Mexico Border,09/01/2000 12:00:00 AM,Personal Vehicle Passengers,19726265,14153896
US-Canada Border,09/01/2000 12:00:00 AM,Personal Vehicle Passengers,8079059,5751556
US-Mexico Border,09/01/2000 12:00:00 AM,Personal Vehicles,7564316,6540824
US-Mexico Border,09/01/2000 12:00:00 AM,Pedestrians,3800747,3671799
US-Canada Border,09/01/2000 12:00:00 AM,Personal Vehicles,3375291,2710282
US-Canada Border,09/01/2000 12:00:00 AM,Trucks,588557,512916
US-Canada Border,09/01/2000 12:00:00 AM,Bus Passengers,553103,276249
US-Canada Border,09/01/2000 12:00:00 AM,Truck Containers Full,454959,380178
US-Mexico Border,09/01/2000 12:00:00 AM,Trucks,366768,400116
US-Mexico Border,09/01/2000 12:00:00 AM,Bus Passengers,210058,250708
US-Mexico Border,09/01/2000 12:00:00 AM,Truck Containers Full,150453,255601
US-Mexico Border,09/01/2000 12:00:00 AM,Truck Containers Empty,114347,141573
US-Canada Border,09/01/2000 12:00:00 AM,Rail Containers Full,104355,106795
US-Canada Border,09/01/2000 12:00:00 AM,Truck Containers Empty,75016,88355
US-Canada Border,09/01/2000 12:00:00 AM,Pedestrians,58446,49668
US-Canada Border,09/01/2000 12:00:00 AM,Rail Containers Empty,32360,43692
US-Canada Border,09/01/2000 12:00:00 AM,Train Passengers,24877,23087
US-Mexico Border,09/01/2000 12:00:00 AM,Rail Containers Full,24689,27669
US-Mexico Border,09/01/2000 12:00:00 AM,Rail Containers Empty,21905,30680
US-Mexico Border,09/01/2000 12:00:00 AM,Buses,20921,19430
US-Canada Border,09/01/2000 12:00:00 AM,Buses,20752,11622
US-Canada Border,09/01/2000 12:00:00 AM,Trains,2808,2519
US-Mexico Border,09/01/2000 12:00:00 AM,Train Passengers,1536,1031
US-Mexico Border,09/01/2000 12:00:00 AM,Trains,619,723
US-Mexico Border,09/01/1999 12:00:00 AM,Personal Vehicle Passengers,20003107,14123111
US-Canada Border,09/01/1999 12:00:00 AM,Personal Vehicle Passengers,8054542,5739435
US-Mexico Border,09/01/1999 12:00:00 AM,Personal Vehicles,7342397,6536606
US-Mexico Border,09/01/1999 12:00:00 AM,Pedestrians,3568056,3672345
US-Canada Border,09/01/1999 12:00:00 AM,Personal Vehicles,3405350,2706624
US-Canada Border,09/01/1999 12:00:00 AM,Trucks,588852,512516
US-Canada Border,09/01/1999 12:00:00 AM,Truck Containers Full,448447,379819
US-Canada Border,09/01/1999 12:00:00 AM,Bus Passengers,428805,275446
US-Mexico Border,09/01/1999 12:00:00 AM,Trucks,361516,400319
US-Mexico Border,09/01/1999 12:00:00 AM,Bus Passengers,271891,250596
US-Mexico Border,09/01/1999 12:00:00 AM,Truck Containers Full,190865,255941
US-Mexico Border,09/01/1999 12:00:00 AM,Truck Containers Empty,165388,141448
US-Canada Border,09/01/1999 12:00:00 AM,Rail Containers Full,89203,106888
US-Canada Border,09/01/1999 12:00:00 AM,Truck Containers Empty,70329,88450
US-Canada Border,09/01/1999 12:00:00 AM,Pedestrians,52797,49652
US-Canada Border,09/01/1999 12:00:00 AM,Rail Containers Empty,28174,43774
US-Mexico Border,09/01/1999 12:00:00 AM,Buses,25062,19401
US-Canada Border,09/01/1999 12:00:00 AM,Train Passengers,24431,23080
US-Mexico Border,09/01/1999 12:00:00 AM,Rail Containers Empty,24251,30714
US-Mexico Border,09/01/1999 12:00:00 AM,Rail Containers Full,20741,27706
US-Canada Border,09/01/1999 12:00:00 AM,Buses,18072,11588
US-Canada Border,09/01/1999 12:00:00 AM,Trains,2574,2518
US-Mexico Border,09/01/1999 12:00:00 AM,Train Passengers,1205,1030
US-Mexico Border,09/01/1999 12:00:00 AM,Trains,524,724
US-Mexico Border,09/01/1998 12:00:00 AM,Personal Vehicle Passengers,18002059,14102587
US-Canada Border,09/01/1998 12:00:00 AM,Personal Vehicle Passengers,7947548,5727752
US-Mexico Border,09/01/1998 12:00:00 AM,Personal Vehicles,6718247,6535645
US-Canada Border,09/01/1998 12:00:00 AM,Personal Vehicles,3285508,2703561
US-Mexico Border,09/01/1998 12:00:00 AM,Pedestrians,3144234,3675139
US-Canada Border,09/01/1998 12:00:00 AM,Trucks,558764,512271
US-Canada Border,09/01/1998 12:00:00 AM,Bus Passengers,389230,274844
US-Canada Border,09/01/1998 12:00:00 AM,Truck Containers Full,386625,379783
US-Mexico Border,09/01/1998 12:00:00 AM,Trucks,329505,400693
US-Mexico Border,09/01/1998 12:00:00 AM,Bus Passengers,264794,250521
US-Mexico Border,09/01/1998 12:00:00 AM,Truck Containers Full,159594,256451
US-Mexico Border,09/01/1998 12:00:00 AM,Truck Containers Empty,136171,141475
US-Canada Border,09/01/1998 12:00:00 AM,Rail Containers Full,82515,107016
US-Canada Border,09/01/1998 12:00:00 AM,Truck Containers Empty,65142,88573
US-Canada Border,09/01/1998 12:00:00 AM,Pedestrians,53868,49629
US-Canada Border,09/01/1998 12:00:00 AM,Rail Containers Empty,25614,43870
US-Canada Border,09/01/1998 12:00:00 AM,Train Passengers,22484,23083
US-Mexico Border,09/01/1998 12:00:00 AM,Buses,20880,19393
US-Canada Border,09/01/1998 12:00:00 AM,Buses,16735,11561
US-Mexico Border,09/01/1998 12:00:00 AM,Rail Containers Empty,16533,30789
US-Mexico Border,09/01/1998 12:00:00 AM,Rail Containers Full,15772,27769
US-Canada Border,09/01/1998 12:00:00 AM,Trains,2746,2517
US-Mexico Border,09/01/1998 12:00:00 AM,Train Passengers,778,1031
US-Mexico Border,09/01/1998 12:00:00 AM,Trains,497,725
US-Mexico Border,09/01/1997 12:00:00 AM,Personal Vehicle Passengers,18215919,14080708
US-Canada Border,09/01/1997 12:00:00 AM,Personal Vehicle Passengers,8599309,5712478
US-Mexico Border,09/01/1997 12:00:00 AM,Personal Vehicles,6787236,6534306
US-Mexico Border,09/01/1997 12:00:00 AM,Pedestrians,3444801,3676364
US-Canada Border,09/01/1997 12:00:00 AM,Personal Vehicles,3417495,2699763
US-Canada Border,09/01/1997 12:00:00 AM,Trucks,510671,512280
US-Canada Border,09/01/1997 12:00:00 AM,Bus Passengers,385965,274253
US-Mexico Border,09/01/1997 12:00:00 AM,Trucks,318753,401129
US-Mexico Border,09/01/1997 12:00:00 AM,Bus Passengers,279337,250368
US-Canada Border,09/01/1997 12:00:00 AM,Truck Containers Full,224145,380611
US-Mexico Border,09/01/1997 12:00:00 AM,Truck Containers Empty,155129,141403
US-Mexico Border,09/01/1997 12:00:00 AM,Truck Containers Full,150031,257017
US-Canada Border,09/01/1997 12:00:00 AM,Pedestrians,76543,49486
US-Canada Border,09/01/1997 12:00:00 AM,Rail Containers Full,39153,107377
US-Canada Border,09/01/1997 12:00:00 AM,Truck Containers Empty,37077,88847
US-Canada Border,09/01/1997 12:00:00 AM,Train Passengers,20985,23094
US-Mexico Border,09/01/1997 12:00:00 AM,Buses,20710,19386
US-Canada Border,09/01/1997 12:00:00 AM,Buses,16102,11537
US-Canada Border,09/01/1997 12:00:00 AM,Rail Containers Empty,15457,44021
US-Mexico Border,09/01/1997 12:00:00 AM,Rail Containers Empty,14857,30873
US-Mexico Border,09/01/1997 12:00:00 AM,Rail Containers Full,14424,27840
US-Canada Border,09/01/1997 12:00:00 AM,Trains,2867,2515
US-Mexico Border,09/01/1997 12:00:00 AM,Train Passengers,843,1032
US-Mexico Border,09/01/1997 12:00:00 AM,Trains,682,725
US-Mexico Border,09/01/1996 12:00:00 AM,Personal Vehicle Passengers,14092606,14080644
US-Canada Border,09/01/1996 12:00:00 AM,Personal Vehicle Passengers,9194740,5693856
US-Mexico Border,09/01/1996 12:00:00 AM,Personal Vehicles,5059547,6542193
US-Canada Border,09/01/1996 12:00:00 AM,Personal Vehicles,3476628,2695609
US-Mexico Border,09/01/1996 12:00:00 AM,Pedestrians,2605460,3682091
US-Canada Border,09/01/1996 12:00:00 AM,Trucks,458830,512566
US-Canada Border,09/01/1996 12:00:00 AM,Bus Passengers,387914,273645
US-Mexico Border,09/01/1996 12:00:00 AM,Trucks,252736,401923
US-Mexico Border,09/01/1996 12:00:00 AM,Bus Passengers,133607,250992
US-Mexico Border,09/01/1996 12:00:00 AM,Truck Containers Full,126057,257717
US-Canada Border,09/01/1996 12:00:00 AM,Truck Containers Full,105711,382081
US-Mexico Border,09/01/1996 12:00:00 AM,Truck Containers Empty,100979,141619
US-Canada Border,09/01/1996 12:00:00 AM,Pedestrians,70269,49375
US-Canada Border,09/01/1996 12:00:00 AM,Rail Containers Full,25501,107815
US-Canada Border,09/01/1996 12:00:00 AM,Truck Containers Empty,20155,89215
US-Canada Border,09/01/1996 12:00:00 AM,Train Passengers,19154,23115
US-Canada Border,09/01/1996 12:00:00 AM,Buses,16724,11509
US-Mexico Border,09/01/1996 12:00:00 AM,Rail Containers Full,13908,27914
US-Mexico Border,09/01/1996 12:00:00 AM,Rail Containers Empty,12090,30974
US-Canada Border,09/01/1996 12:00:00 AM,Rail Containers Empty,9702,44205
US-Mexico Border,09/01/1996 12:00:00 AM,Buses,9643,19438
US-Canada Border,09/01/1996 12:00:00 AM,Trains,2706,2514
US-Mexico Border,09/01/1996 12:00:00 AM,Train Passengers,719,1034
US-Mexico Border,09/01/1996 12:00:00 AM,Trains,516,726
US-Mexico Border,08/01/2018 12:00:00 AM,Personal Vehicle Passengers,12338175,14090012
US-Mexico Border,08/01/2018 12:00:00 AM,Personal Vehicles,6554844,6542125
US-Canada Border,08/01/2018 12:00:00 AM,Personal Vehicle Passengers,6367333,5690235
US-Mexico Border,08/01/2018 12:00:00 AM,Pedestrians,3851303,3681181
US-Canada Border,08/01/2018 12:00:00 AM,Personal Vehicles,2999558,2693975
US-Mexico Border,08/01/2018 12:00:00 AM,Trucks,552741,401112
US-Canada Border,08/01/2018 12:00:00 AM,Trucks,508622,512587
US-Mexico Border,08/01/2018 12:00:00 AM,Truck Containers Full,401582,256944
US-Canada Border,08/01/2018 12:00:00 AM,Truck Containers Full,377595,382105
US-Canada Border,08/01/2018 12:00:00 AM,Bus Passengers,239821,273827
US-Mexico Border,08/01/2018 12:00:00 AM,Bus Passengers,218838,251165
US-Mexico Border,08/01/2018 12:00:00 AM,Truck Containers Empty,159349,141524
US-Canada Border,08/01/2018 12:00:00 AM,Rail Containers Full,148925,107594
US-Canada Border,08/01/2018 12:00:00 AM,Truck Containers Empty,141581,88933
US-Canada Border,08/01/2018 12:00:00 AM,Pedestrians,83530,49191
US-Canada Border,08/01/2018 12:00:00 AM,Rail Containers Empty,60159,44119
US-Canada Border,08/01/2018 12:00:00 AM,Train Passengers,55602,22940
US-Mexico Border,08/01/2018 12:00:00 AM,Rail Containers Empty,42889,30910
US-Mexico Border,08/01/2018 12:00:00 AM,Rail Containers Full,40034,27849
US-Mexico Border,08/01/2018 12:00:00 AM,Buses,14961,19462
US-Canada Border,08/01/2018 12:00:00 AM,Buses,9222,11521
US-Canada Border,08/01/2018 12:00:00 AM,Trains,2099,2516
US-Mexico Border,08/01/2018 12:00:00 AM,Trains,928,725
US-Mexico Border,08/01/2018 12:00:00 AM,Train Passengers,909,1035
US-Mexico Border,08/01/2017 12:00:00 AM,Personal Vehicle Passengers,12274160,14099828
